artists,artists_id
"['Mercedes Sosa', 'Ariel Ramírez', 'Hector Zeoli']","['spotify:artist:2HvyR5FsU37QMqVzIbGwl7', 'spotify:artist:2dTieljE0C4ydCdUPIPLRW', 'spotify:artist:2yAbebpFzH9GhCLeCwKwtN']"
The Doors,spotify:artist:22WZ7M8sxp5THdruNY3gXt
"['Antonio Vivaldi', 'Stefan Schilli', 'Geoffrey Thomas', 'Judit Kiss-Domonkos', 'Budapest Failoni Chamber Orchestra', 'Béla Nagy']","['spotify:artist:2QOIawHpSlOwXDvSqQ9YJR', 'spotify:artist:5ef1yJAGtkEVedeUcHq6RA', 'spotify:artist:3Ge8QeNDM7TqnPy9jdso7r', 'spotify:artist:2P7UTVByGg9B4tWkMm0E0y', 'spotify:artist:7w6HlJdHl67FIA8WGHCoNX', 'spotify:artist:4qZKTFINAeNhMZontywAbL']"
"['Rampa', 'Adam Port', '&ME']","['spotify:artist:08jywfUS0hp8XYlYs0cvz8', 'spotify:artist:2loEsOijJ6XiGzWYFXMIRk', 'spotify:artist:5mIowAJMp7RKNheelruV5z']"
Moderat,spotify:artist:2exkZbmNqMKnT8LRWuxWgy
Marc Romboy,spotify:artist:623ecFS6T9xsx9Rb98eii5
DAVID AUGUST,spotify:artist:1cS5EoXVqz7aON00AkVBBA
DAVID AUGUST,spotify:artist:1cS5EoXVqz7aON00AkVBBA
DAVID AUGUST,spotify:artist:1cS5EoXVqz7aON00AkVBBA
"['DAVID AUGUST', 'Nelia Kit']","['spotify:artist:1cS5EoXVqz7aON00AkVBBA', 'spotify:artist:773S1WFqd0rLIs1qF7WqIv']"
Julio Iglesias,spotify:artist:4etuCZVdP8yiNPn4xf0ie5
Elton John,spotify:artist:3PhoLpVuITZKcymswpck5b
Pink Floyd,spotify:artist:0k17h0D3J5VfsdmQ1iZtE9
Pink Floyd,spotify:artist:0k17h0D3J5VfsdmQ1iZtE9
The xx,spotify:artist:3iOvXCl6edW5Um0fXEBRXy
Chris Avantgarde,spotify:artist:715OI7hiv58daVlEDXM47U
Tim Engelhardt,spotify:artist:74HdscE6G74tt01dbVZULE
