added_at_playlist,uri,username,name,popularity,duration_ms,is_explicit,album_name,album_release_date
2019-06-12T19:16:53Z,spotify:track:5Ta0BuVhRMSrebPd89wv01,Lina,R U OK?,17,214684,True,R U OK?,2018-11-15
2019-06-12T19:09:59Z,spotify:track:4HwDCXsMBC7SUdp2WT4MZP,Lina,Into It,76,196767,True,Chase Atlantic,2017-10-04
2019-06-12T19:09:29Z,spotify:track:6OtjKr7zn85Krff67wJuxJ,Lina,Coloring,53,219653,False,Mellow Drama,2015-07-04
2019-06-12T19:09:26Z,spotify:track:1Cx0oizrbPnN23acLgyjSR,Lina,Stranglehold,42,201360,False,False Hope,2017-03-02
2019-06-12T19:09:07Z,spotify:track:0CZ8lquoTX2Dkg7Ak2inwA,Lina,1950,78,225133,True,1950,2018-02-23
2019-03-28T16:31:06Z,spotify:track:6N0uDUUQRQd7lIIFU2aaEQ,Lina,Hold Me,35,227234,False,Hold Me,2017-12-27
2019-03-26T20:07:42Z,spotify:track:6EFsue2YbIG4Qkq8Zr9Rir,Lina,With My Words,0,222441,False,With My Words,2018-10-05
2019-03-26T19:58:47Z,spotify:track:79ptYtWnpAnsQutzg2xSFk,Lina,Cave Me In,53,214158,False,Cave Me In,2017-01-26
2019-03-26T19:58:39Z,spotify:track:1N5j9dRZ3foNWwU4Zp0pbq,Lina,Frustrated,0,201463,False,Frustrated,2016-06-03
2019-03-22T19:15:24Z,spotify:track:7yVjKxpZ0FtIr8shugrsv1,Lina,길 Road,45,226040,False,Chapter 4,2001-11-11
2015-08-30T11:51:39Z,spotify:track:5hmO72DpMfddRFBbVdPoEX,Lina,As You Are,0,340493,True,Beauty Behind The Madness,2015-08-28
2015-08-30T11:51:26Z,spotify:track:5fohLPNqO6TqwrZ7BoUWUT,Lina,High For This,71,247226,False,Trilogy,2012-11-13
2015-08-28T21:15:02Z,spotify:track:3TPFIrjJ8fgvGGHMjuy2HP,Lina,Where Are Ü Now (with Justin Bieber) - Ember Island Remix,43,151826,False,Where Are Ü Now (with Justin Bieber) [Remixes],2015-06-16
2015-08-12T01:28:07Z,spotify:track:1zCi4cVFqe6ja16MeGZKRN,Lina,Poetic Justice,55,300160,True,"good kid, m.A.A.d city",2012
2015-08-12T01:28:05Z,spotify:track:1bxEpNR75Hq3T2oF9AZjt8,Lina,u,61,268493,True,To Pimp A Butterfly,2015-03-16
2015-07-11T13:04:59Z,spotify:track:1TSxLktSlIdEsjTGWB4Fub,Lina,It’s Only (feat. Zyra),57,268000,False,In Return,2014-09-08
2015-06-14T22:14:46Z,spotify:track:1YmKdg7Lnuox0gCd93aq0I,Lina,Lifted Up (1985) - Glitter and Strobe Lights in Slo-Mo Version [w/ post edits],26,241373,False,Kindred,2015-04-17
2015-06-14T22:14:33Z,spotify:track:7GyDcM22nxCJHcQa11fbYk,Lina,Where the Sky Hangs,52,230973,False,Kindred,2015-04-17
2015-06-09T16:19:06Z,spotify:track:53iRFWU7bpV3ro3kzZYLCF,Lina,Open Wound,23,219225,False,KITTY HAWK,2013-10-29
2015-06-09T16:05:10Z,spotify:track:44hwFndSJX3t9SiXqwh0Ki,Lina,KITTY HAWK,32,185270,False,KITTY HAWK,2013-10-29
2015-04-27T14:21:16Z,spotify:track:42K3nPa3CNN5WXebzR78bY,Lina,Stranger,21,288106,False,Versus,2010-08-24
2015-03-16T16:11:48Z,spotify:track:6oVPlkdJHXOHXauconNZQX,Lina,After You're Through - Extended Version,10,341613,False,Grits & Soul (Expanded Edition),2014-01-01
2015-03-12T15:37:09Z,spotify:track:05Ez6KwjICkscWQVTsT3f5,Lina,I Will Be Found (Lost At Sea),57,241346,False,Paradise Valley,2013-08-20
2015-02-26T17:02:07Z,spotify:track:2d2SZkpCI2GFchnxTm4l57,Lina,We Ain't Them,0,193071,True,Royal,2013-09-28
2015-02-22T03:39:40Z,spotify:track:3v9fhN8ttoeH9AvpCi3IVM,Lina,Fitzpleasure - Dave Sitek Remix,18,198210,False,Summer Remix EP,2013-11-25
2015-02-21T14:28:20Z,spotify:track:7GhF1JPTWv3kaRJxAVHOFM,Lina,Beer,0,199158,True,Three Loco,2012-11-27
2015-02-17T03:09:46Z,spotify:track:1d6JUM54S33y49mW3C20Sm,Lina,Pompeii,19,202556,False,BOCA 2014: Best Of College A Cappella,2014
2015-02-17T03:03:36Z,spotify:track:3MPuDB7cP8UxDyWRRvex5I,Lina,A Sunday Kind Of Love,0,198546,False,An Education OST,2009-01-01
2015-02-12T15:09:43Z,spotify:track:3qnUqdzB7fjJOKrooVPX4k,Lina,Blank Space,0,240927,False,Blank Space,2014-12-05
2015-02-10T14:29:27Z,spotify:track:35LDid9nvuYrUyZk5qGD0i,Lina,Belief,57,242333,False,Continuum,2006-09-11
2015-02-10T14:29:27Z,spotify:track:1IdTIzkTK6CcpKKgMUGbg7,Lina,Vultures,60,250840,False,Continuum,2006-09-11
2015-02-10T14:29:27Z,spotify:track:2jdAk8ATWIL3dwT47XpRfu,Lina,Slow Dancing in a Burning Room,76,242000,False,Continuum,2006-09-11
2015-02-10T14:29:27Z,spotify:track:0bYDebBlQxsDR4hCgbbpOW,Lina,I'm Gonna Find Another You,56,163026,False,Continuum,2006-09-11
2015-02-10T14:29:27Z,spotify:track:5imShWWzwqfAJ9gXFpGAQh,Lina,Waiting On the World to Change,74,201173,False,Continuum,2006-09-11
2015-02-10T14:29:27Z,spotify:track:7peh6LUcdNPcMdrSH4JPsM,Lina,I Don't Trust Myself (With Loving You),59,292013,False,Continuum,2006-09-11
2015-02-10T14:29:27Z,spotify:track:3SktMqZmo3M9zbB7oKMIF7,Lina,Gravity,75,245826,False,Continuum,2006-09-11
2015-02-10T14:29:27Z,spotify:track:78DwRIo6Vj6wqteyerGetr,Lina,The Heart of Life,65,198200,False,Continuum,2006-09-11
2015-02-10T14:29:27Z,spotify:track:3E6iea9uEmB7gRru4lyP6h,Lina,Stop This Train,67,285053,False,Continuum,2006-09-11
2015-02-10T14:29:27Z,spotify:track:50DMG6AvtNzbrxMc62w6ph,Lina,Bold as Love,55,258160,False,Continuum,2006-09-11
2015-02-10T14:29:27Z,spotify:track:7keXdrB4mz57u4b8YkCwag,Lina,Dreaming with a Broken Heart,65,245746,False,Continuum,2006-09-11
2015-02-10T14:29:27Z,spotify:track:7MRn6wgG0ReDRNYV5wJeGX,Lina,In Repair,54,367813,False,Continuum,2006-09-11
2015-02-08T15:11:42Z,spotify:track:4QfbfUo5nI1rX8nncwLVEE,Lina,Little Of Your Time,0,137066,False,It Won't Be Soon Before Long.,2007
2015-02-08T15:03:41Z,spotify:track:7xlIrLvCs7digqxVI3LKMM,Lina,Must Get Out,47,239440,False,Songs About Jane,2002-06-25
2015-02-08T15:03:11Z,spotify:track:7sT621Iv8V6bMv6Z5B16PO,Lina,Not Coming Home,45,261226,False,Songs About Jane,2002-06-25
2015-02-08T14:42:05Z,spotify:track:2RjpDxBii8EvC6p6wxwCSz,Lina,Harder To Breathe,56,173693,True,Songs About Jane,2002-06-25
2015-02-07T00:46:33Z,spotify:track:0dHF8t7OIhgPele5WRUfWG,Lina,I'm Gonna Be (500 Miles),56,211787,False,"Covers, Vol. 1",2014-05-16
2015-02-07T00:46:29Z,spotify:track:3cBtANnJGopPaRMXCl3mV7,Lina,Every Little Thing She Does Is Magic,58,196806,False,"Covers, Vol. 1",2014-05-16
2015-02-05T16:35:11Z,spotify:track:1650yatyByhD11nXbD8ktd,Lina,Total Eclipse of the Heart,54,244824,False,"Covers, Vol. 1",2014-05-16
2015-02-05T16:35:09Z,spotify:track:4l6jbCPBQSD9z6C5nScjCd,Lina,In the Embers,41,238376,False,Atlas: I,2014-07-08
2015-02-05T16:34:59Z,spotify:track:1qTEnu5RjWOXbyPejfMhVj,Lina,Ruby Blue,44,191118,False,"Covers, Vol. 1",2014-05-16
2015-02-05T16:34:52Z,spotify:track:2XiqsYPmKLqjOigE3HmfXb,Lina,I'll Keep You Safe,48,271199,False,Atlas: I,2014-07-08
2015-02-05T16:34:48Z,spotify:track:5uq3x8Pg8HAj8qNwPFOzfl,Lina,Light,60,262533,False,Atlas: I,2014-07-08
2015-02-04T16:00:07Z,spotify:track:09MdiypXlcb1kohV3cO03p,Lina,I'm Gonna Be (500 Miles),48,212044,False,I'm Gonna Be (500 Miles),2013-05-07
2015-02-04T14:47:49Z,spotify:track:3HYXqOAm2Q8b2OyYqzv8d4,Lina,101,50,203500,False,101,2015-01-19
2015-02-03T15:56:11Z,spotify:track:21Go4aMyLGP40ANI3TU0Fn,Lina,Geronimo,0,218227,False,Geronimo,2014-01-01
2015-02-02T15:21:18Z,spotify:track:4GrOV18KKdZnc3jcfvMDgk,Lina,Leaf Off / The Cave,30,293880,False,Leaf Off / The Cave,2015-01-19
2015-02-02T15:17:55Z,spotify:track:6dfJBFmSX9dRN6FhEtaJd2,Lina,Paper Trail$,0,197604,False,B4.DA.$$,2015-01-20
2015-02-02T15:15:11Z,spotify:track:7vugjA0BxBUIRqrdRjncBx,Lina,Save The Night,43,189293,False,Love In The Future (Expanded Edition),2013-08-30
