uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
spotify:track:7smnmEyvR4MtnyqK9eiAjx,0.293,0.147,2,-20.174,1,0.0305,0.969,0.946,0.11,0.0347,91.614
spotify:track:7gePpUawLnGf1l1fnltiIR,0.251,0.248,2,-19.181,1,0.0398,0.974,0.921,0.109,0.067,65.732
spotify:track:5uOBRzLWxGnE564iW0PF7y,0.31,0.283,2,-19.923,1,0.0347,0.937,0.925,0.109,0.204,182.454
spotify:track:637sViSUUQTBice1wmz5id,0.514,0.398,11,-14.035,0,0.0295,0.989,0.974,0.138,0.0644,108.655
spotify:track:3pegwzmIu6j8rWq6G7z8Np,0.39,0.356,6,-13.866,0,0.0316,0.96,0.935,0.118,0.0424,85.811
spotify:track:2lFoxhUEGpKoSHetkKHIAw,0.143,0.145,0,-21.953,1,0.0459,0.97,0.928,0.0974,0.0303,140.166
spotify:track:0wFYNeVAVjp7VXxYTLK5yF,0.484,0.464,4,-15.632,0,0.0285,0.92,0.982,0.103,0.562,98.198
spotify:track:1lUqMBDI4ttfqZUmNRvXn6,0.239,0.119,7,-25.886,1,0.0393,0.99,0.908,0.112,0.0741,64.341
spotify:track:6gYUNNgQtLzIXGA6zlTErM,0.15,0.316,2,-18.109,1,0.0377,0.991,0.975,0.109,0.0398,138.028
spotify:track:1rRnE5IhXtrQKSwU1eK756,0.323,0.0718,2,-21.934,1,0.0364,0.927,0.00234,0.107,0.0671,109.367
spotify:track:4w9x2bTDFFuELLLvYlMLdV,0.33,0.708,3,-11.368,0,0.0393,0.0385,0.659,0.139,0.164,119.985
spotify:track:6rWAvpX61F0nNdD9V6JFLs,0.176,0.142,0,-20.424,1,0.0406,0.977,0.931,0.404,0.0337,64.563
spotify:track:1y1Li1MUfGZjdR8EOSDiUD,0.146,0.264,4,-9.083,1,0.0328,0.976,0.0128,0.102,0.118,67.314
spotify:track:6qfovhuEiazhpsIe4UqirU,0.378,0.547,4,-10.866,1,0.0362,0.00354,0.153,0.122,0.103,106.752
spotify:track:3nWCNcTv1E6ipd1zzC8WJY,0.328,0.658,8,-8.559,1,0.0543,0.467,0.00474,0.372,0.301,116.221
spotify:track:1nEDT4DsoaTfexrz8D9zt1,0.768,0.42,5,-8.55,0,0.0546,0.0705,0.899,0.0937,0.202,129.016
spotify:track:35iFhbJtSRzL9MjUkQCf52,0.619,0.891,7,-6.34,1,0.1,0.052,0.902,0.252,0.7,129.038
spotify:track:1MSLiTqxZBKWgcHZGPGTDr,0.49,0.57,1,-7.666,1,0.0689,0.0253,0.0556,0.122,0.283,113.309
spotify:track:7pI31mg1XsAPJCB6gQJSxK,0.788,0.491,0,-8.537,1,0.0516,0.0158,0.802,0.0824,0.724,119.992
spotify:track:0Fxc7REWedvbv2DCRQbtIU,0.314,0.223,2,-18.364,1,0.0309,0.916,0.799,0.108,0.198,74.858
spotify:track:1BW9bX3Ox6GibuS4OJ3LLw,0.556,0.614,7,-9.543,1,0.0406,0.00123,0.639,0.571,0.0565,105.0
spotify:track:27mFsmEWiSablfQTyZZhgp,0.202,0.355,9,-8.863,1,0.0335,0.0204,0.0275,0.094,0.0392,80.137
spotify:track:3lHnxCL8XOxmgLVyPPm2K5,0.158,0.69,0,-6.873,1,0.0381,0.00516,0.00187,0.42,0.0668,74.085
spotify:track:7FuZ8MueDtq6RrTXWOOxo6,0.652,0.8,11,-13.979,0,0.0352,0.0644,0.859,0.116,0.381,125.018
spotify:track:0diPy4X3fZ253nxtUXXitO,0.502,0.284,2,-15.609,1,0.033,0.9,0.849,0.0999,0.0398,97.307
spotify:track:4z1fNs2B7KndCsvyPgrhq5,0.519,0.437,7,-12.97,0,0.0325,0.0216,0.000974,0.375,0.0356,134.933
spotify:track:56l4CzpusvjLJ1LnFl0KX3,0.682,0.616,6,-11.498,0,0.0643,0.439,0.567,0.119,0.618,138.978
