added_at_playlist,uri,name,popularity,duration_ms,is_explicit,album_name,album_release_date
2019-12-26T05:25:19Z,spotify:track:1lUqMBDI4ttfqZUmNRvXn6,Wind and Snow,34,270680,False,Dragging a Dead Deer Up a Hill,2008
2019-12-26T05:25:19Z,spotify:track:6gYUNNgQtLzIXGA6zlTErM,Tidal Wave,34,335306,False,Dragging a Dead Deer Up a Hill,2008
2019-12-26T05:25:19Z,spotify:track:1rRnE5IhXtrQKSwU1eK756,We've All Gone to Sleep,32,183306,False,Dragging a Dead Deer Up a Hill,2008
2019-12-26T04:54:57Z,spotify:track:4w9x2bTDFFuELLLvYlMLdV,Haunted Water,32,286081,False,Mazy Fly,2019-02-22
2019-12-20T21:08:09Z,spotify:track:6rWAvpX61F0nNdD9V6JFLs,Sad One,0,239164,False,Ariadna,2017-09-08
2019-12-20T21:05:38Z,spotify:track:1y1Li1MUfGZjdR8EOSDiUD,B and O Blues,20,258560,False,Dang,2016-09-23
2019-12-20T20:57:16Z,spotify:track:6qfovhuEiazhpsIe4UqirU,The Holy Drinker,37,613814,False,The Raven That Refused to Sing (and Other Stories),2013-02-25
2019-12-02T19:39:04Z,spotify:track:3nWCNcTv1E6ipd1zzC8WJY,Curve and Light,35,259999,False,Crumbling,2019-06-17
2019-12-02T19:17:09Z,spotify:track:1nEDT4DsoaTfexrz8D9zt1,Traffic,5,317986,False,ANIMA,2019-06-27
2019-11-30T22:00:03Z,spotify:track:35iFhbJtSRzL9MjUkQCf52,Oscollo,7,209477,False,Oscollo,2018-04-13
2019-11-30T20:08:12Z,spotify:track:1MSLiTqxZBKWgcHZGPGTDr,Ultraviolet,2,187115,False,EP2,2013-09-17
2019-11-30T18:45:32Z,spotify:track:7pI31mg1XsAPJCB6gQJSxK,PULL UP,13,178906,True,PRINCESS,2016-07-15
2019-11-30T18:16:43Z,spotify:track:0Fxc7REWedvbv2DCRQbtIU,The Man Who Died in His Boat,26,300973,False,The Man Who Died in His Boat,2013-02-04
2019-11-27T05:45:38Z,spotify:track:1BW9bX3Ox6GibuS4OJ3LLw,Nothing Stirs,37,355786,False,"I Have Fought Against It, But I Can’t Any Longer.",2018-05-11
2019-11-27T05:45:01Z,spotify:track:27mFsmEWiSablfQTyZZhgp,DO YOU DOUBT ME TRAITOR,36,574347,True,CALIGULA,2019-07-19
2019-11-21T15:36:59Z,spotify:track:3lHnxCL8XOxmgLVyPPm2K5,Bae,18,315160,False,Live from Japan,2019-09-06
2019-11-19T03:11:44Z,spotify:track:7FuZ8MueDtq6RrTXWOOxo6,No Meio da Noite,22,257449,False,Vida Eterna,2017-09-15
2019-11-17T19:59:26Z,spotify:track:0diPy4X3fZ253nxtUXXitO,Cloud in Places,28,245306,False,The Man Who Died in His Boat,2013-02-04
2019-11-16T22:53:53Z,spotify:track:4z1fNs2B7KndCsvyPgrhq5,Hyperballad,48,321360,False,Post,1995-06-13
2019-11-14T19:54:31Z,spotify:track:56l4CzpusvjLJ1LnFl0KX3,Brakhage,38,330466,False,Dots And Loops,1997-09-22
