artists,artists_id
Kedr Livanskiy,spotify:artist:7deuX0YejjlcB4uLcdgEDW
Kedr Livanskiy,spotify:artist:7deuX0YejjlcB4uLcdgEDW
Kedr Livanskiy,spotify:artist:7deuX0YejjlcB4uLcdgEDW
"['Varg²™', 'COUCOU CHLOE']","['spotify:artist:4g2EfgpanE2Z9LG1nQ9zNy', 'spotify:artist:5xmw3tD4MbvhA1ay1U0HEC']"
Bicep,spotify:artist:73A3bLnfnz5BoQjb4gNCga
Oneohtrix Point Never,spotify:artist:2wPDbhaGXCqROrVmwDdCrK
Nick Cave & The Bad Seeds,spotify:artist:4UXJsSlnKd7ltsrHebV79Q
Alex G,spotify:artist:6lcwlkAjBPSKnFBZjjZFJs
Alex G,spotify:artist:6lcwlkAjBPSKnFBZjjZFJs
Alex G,spotify:artist:6lcwlkAjBPSKnFBZjjZFJs
Alex G,spotify:artist:6lcwlkAjBPSKnFBZjjZFJs
David Bowie,spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy
Washed Out,spotify:artist:5juOkIIy18sFw9L30syt1Z
Washed Out,spotify:artist:5juOkIIy18sFw9L30syt1Z
Hype Williams,spotify:artist:3SMaI6j8ObewCWPQFwfvui
Perfume Genius,spotify:artist:2ueoLVCXQ948OfhVvAy3Nn
Helen,spotify:artist:52xprCZw3i5T0Ll5wEILNF
"['Yves Tumor', 'Hirakish', 'Napolian', 'ANTHEM']","['spotify:artist:0qu422H5MOoQxGjd4IzHbS', 'spotify:artist:1MuO6J6qain9slSqppZp2R', 'spotify:artist:420VlYgk63HbGyGddUNrDw', 'spotify:artist:3StjWvSpji3Ho1tmehMWUd']"
JPEGMAFIA,spotify:artist:6yJ6QQ3Y5l0s0tn7b0arrO
Dead Moon,spotify:artist:3En4SMrGwoaVbTIyWOQCqx
Grouper,spotify:artist:31uyAcnY0kjjKKIQZMKX4i
Them Are Us Too,spotify:artist:5momCJTdVuC4H9xHhYkaiK
Them Are Us Too,spotify:artist:5momCJTdVuC4H9xHhYkaiK
King Woman,spotify:artist:4C20AUsp5T2VNHmzSTSzYn
Against All Logic,spotify:artist:0ngUeF0DGpYmPec80MqSi1
Aphex Twin,spotify:artist:6kBDZFXuLrZgHnvmPu9NsG
True Widow,spotify:artist:7fS59zKuYPKhYlTGdg2PyM
Have A Nice Life,spotify:artist:0FRKTwQSToXpCxYMhyUzYY
"['Oneohtrix Point Never', 'Alex G']","['spotify:artist:2wPDbhaGXCqROrVmwDdCrK', 'spotify:artist:6lcwlkAjBPSKnFBZjjZFJs']"
"['Yung Lean', 'Travis Scott']","['spotify:artist:67lytN32YpUxiSeWlKfHJ3', 'spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY']"
Leon Vynehall,spotify:artist:2o7L9DNcmzocYll1o0GGTU
Against All Logic,spotify:artist:0ngUeF0DGpYmPec80MqSi1
"['Freddie Gibbs', 'Madlib']","['spotify:artist:0Y4inQK6OespitzD6ijMwb', 'spotify:artist:5LhTec3c7dcqBvpLRWbMcf']"
Hype Williams,spotify:artist:3SMaI6j8ObewCWPQFwfvui
Hype Williams,spotify:artist:3SMaI6j8ObewCWPQFwfvui
Kate Bush,spotify:artist:1aSxMhuvixZ8h9dK9jIDwL
Andy Stott,spotify:artist:6BuDxEE5rfuYeyhxQsl53K
Burial,spotify:artist:0uCCBpmg6MrPb1KY2msceF
Avey Tare,spotify:artist:0yJolfjqzHfNbr9IoBSndu
Protomartyr,spotify:artist:2YFBqMMiIIL4XyiEwqySUQ
U.S. Girls,spotify:artist:3AHFDfqhSqPBecjQDIOIJA
Alvvays,spotify:artist:3kzwYV3OCB010YfXMF0Avt
"['Perfume Genius', 'Weyes Blood']","['spotify:artist:2ueoLVCXQ948OfhVvAy3Nn', 'spotify:artist:3Uqu1mEdkUJxPe7s31n1M9']"
Andy Stott,spotify:artist:6BuDxEE5rfuYeyhxQsl53K
Inga Copeland,spotify:artist:1ZdoULgEhBXOV2g3j3Zhhi
Sonic Youth,spotify:artist:5UqTO8smerMvxHYA5xsXb6
Oneohtrix Point Never,spotify:artist:2wPDbhaGXCqROrVmwDdCrK
"['Visible Cloaks', 'Yoshio Ojima', 'Satsuki Shibano']","['spotify:artist:2gqmFO0Wo92qaqwwgL6fZG', 'spotify:artist:311stj8V2orjkfjvLrLvfa', 'spotify:artist:41uROYFIU6V6D0dHUdpS6c']"
Mr Twin Sister,spotify:artist:5ltJZgIW3OkY5WvuzX5MYz
George Clanton,spotify:artist:1G5v3lpMz7TeoW0yGpRQHr
Tzusing,spotify:artist:7Ifvnt1HhJ0b1QwOxLAu2s
Hype Williams,spotify:artist:3SMaI6j8ObewCWPQFwfvui
JPEGMAFIA,spotify:artist:6yJ6QQ3Y5l0s0tn7b0arrO
Yung Lean,spotify:artist:67lytN32YpUxiSeWlKfHJ3
Yves Tumor,spotify:artist:0qu422H5MOoQxGjd4IzHbS
"['Varg²™', 'F. Valentin', 'Chloe Wise']","['spotify:artist:4g2EfgpanE2Z9LG1nQ9zNy', 'spotify:artist:3ptxvhv1kqWKAi8OxaVqAY', 'spotify:artist:6Dxe4ajNXZs4QrMx8pVAG1']"
"['Varg²™', 'AnnaMelina']","['spotify:artist:4g2EfgpanE2Z9LG1nQ9zNy', 'spotify:artist:6dYcPetMNQCOUjyO0vTogs']"
Radiohead,spotify:artist:4Z8W4fKeB5YxbusRsdQVPb
Radiohead,spotify:artist:4Z8W4fKeB5YxbusRsdQVPb
Radiohead,spotify:artist:4Z8W4fKeB5YxbusRsdQVPb
Negative Gemini,spotify:artist:3SU7pCbOPCUMboKnxMvHVW
Negative Gemini,spotify:artist:3SU7pCbOPCUMboKnxMvHVW
Croatian Amor,spotify:artist:67QjO1hSxmYnra5p51qjig
Kedr Livanskiy,spotify:artist:7deuX0YejjlcB4uLcdgEDW
Filmmaker,spotify:artist:2V2SmuR8XmWsKjGzTSk6Hp
HTRK,spotify:artist:06sdJwlggq0PKOe4LPZWCg
Tropic of Cancer,spotify:artist:3qFOpjNiYRuQNVl564TGgO
Swan Lingo,spotify:artist:3tATVVBQ7Xo8B3lNJVYc0x
Hante.,spotify:artist:5PhSiNjHZevtfAj9zmvVkU
Kate Bush,spotify:artist:1aSxMhuvixZ8h9dK9jIDwL
