uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
spotify:track:2yOm4lN7aTygtXanJFNFWU,0.571,0.232,10,-11.309,1,0.0699,0.604,0.000246,0.119,0.207,128.785
spotify:track:6AgDFWLbbAt2migXMbrhXT,0.733,0.566,8,-12.06,0,0.039,0.0966,0,0.074,0.775,141.94
spotify:track:5UqivtkoiPTXrJu6GIt1mh,0.531,0.269,1,-10.6,1,0.0406,0.866,0,0.116,0.52,84.186
spotify:track:7aQjPecQdIuNd1sz3KCDhD,0.704,0.636,9,-6.029,1,0.0252,0.0344,0,0.35,0.89,111.845
spotify:track:6a5jHgwqYMk9wlYJYfs3c9,0.658,0.711,2,-7.424,0,0.0425,0.0759,1.77e-05,0.0446,0.614,172.365
spotify:track:4L46sysb98XMHmAur6VerM,0.37,0.299,6,-10.012,1,0.0368,0.962,0.00139,0.201,0.303,112.037
spotify:track:5cJkLR7M84R92ZDH7cHYQS,0.856,0.429,11,-6.964,1,0.0586,0.195,6.66e-06,0.0453,0.51,116.073
spotify:track:0qKKE7sLRt9jqG0b04w7Es,0.614,0.474,7,-9.007,1,0.033,0.492,0,0.0877,0.206,120.085
spotify:track:3JmUG6cpImbmpU4oIJiCPm,0.693,0.599,0,-6.643,1,0.0256,0.328,6.52e-06,0.167,0.753,131.977
spotify:track:4X0n2CXP1iYeanqncTPSG9,0.723,0.485,10,-10.558,1,0.0261,0.443,1.51e-05,0.373,0.23,105.966
spotify:track:3333YXdcyths5CB8v28dZj,0.592,0.2,1,-16.392,1,0.0344,0.823,0,0.101,0.382,172.647
spotify:track:4eO6lK0DFBuVA5hgB2B1uv,0.688,0.00643,8,-20.06,1,0.0459,0.985,0.000109,0.111,0.234,70.724
spotify:track:3YKptz29AsOlm7WAVnztBh,0.584,0.533,10,-7.11,0,0.0305,0.684,0,0.306,0.224,131.745
spotify:track:6MXeTGKPhVuaifyloxs8tL,0.555,0.698,0,-8.874,1,0.0287,0.403,0,0.0851,0.816,168.12
spotify:track:4WrUZTGFXeZNxpRDKU18Y1,0.616,0.51,1,-7.994,1,0.0323,0.289,0,0.104,0.193,119.973
spotify:track:75Zt3w8c8ElZUHgkDanozH,0.728,0.438,0,-9.532,1,0.0281,0.5,0,0.0919,0.336,130.326
spotify:track:2zItQNJrVrTioXTXWiI2ed,0.754,0.472,8,-11.787,1,0.0807,0.257,2.09e-05,0.121,0.613,169.199
spotify:track:1WtkrKWpfFx75erK1VqtQh,0.34,0.336,8,-7.288,1,0.0289,0.765,0.000114,0.126,0.0932,142.631
spotify:track:1urmwhtXPiakhcqvqUi3rp,0.566,0.573,5,-7.21,1,0.0436,0.25,0,0.0723,0.313,116.067
spotify:track:5X8kkUaUlAyAUr9TYqDFTH,0.753,0.934,2,-3.011,1,0.0736,0.0174,0.065,0.128,0.73,113.525
spotify:track:72T5smavl9ONfOwI0gHf1A,0.627,0.539,0,-8.529,0,0.0328,0.346,0,0.192,0.754,112.259
spotify:track:5c6V4X6i91zq3B9adnFjEL,0.566,0.748,11,-5.807,1,0.0377,0.0154,0.000468,0.0755,0.261,135.845
