artists,artists_id
Whitney Houston,spotify:artist:6XpaIBNiVzIetEPCWDvAFP
Bobby Tinsley,spotify:artist:6r6kWTXOmjQeb37QoLJwRZ
Jennifer Love Hewitt,spotify:artist:2BZDbnjUHnL2XAPgkdqTpb
Toya,spotify:artist:6cStgiv1qH5z6GYrFsjuGj
Brian McKnight,spotify:artist:6k0IBR0lU42s2GYpNX7kA9
Janet Jackson,spotify:artist:4qwGe91Bz9K2T8jXTZ815W
Paul Tiernan,spotify:artist:1uXwmvYZfslkHxc7XXLljZ
Seal,spotify:artist:5GtMEZEeFFsuHY8ad4kOxv
Savage Garden,spotify:artist:3NRFinRTEqUCfaTTZmk8ek
Céline Dion,spotify:artist:4S9EykWXhStSc15wEx8QFK
Cyndi Lauper,spotify:artist:2BTZIqw0ntH9MvilQ3ewNY
Babyface,spotify:artist:3aVoqlJOYx31lH1gibGDt3
Force M.D.'s,spotify:artist:3KpLtTMpLAko7nBDmiYg7Z
Destiny's Child,spotify:artist:1Y8cdNmUJH7yBTd9yOvr5i
Janet Jackson,spotify:artist:4qwGe91Bz9K2T8jXTZ815W
Norma Tanega,spotify:artist:4nlQA3jNE8cukTo6CdyCWP
one vo1ce,spotify:artist:2XbrRvsnu4m56qwgBx5nnD
Brian McKnight,spotify:artist:6k0IBR0lU42s2GYpNX7kA9
"['Mariah Carey', 'Boyz II Men']","['spotify:artist:4iHNK0tOyZPYnBU7nGAgpQ', 'spotify:artist:6O74knDqdv3XaWtkII7Xjp']"
3LW,spotify:artist:2lFHVcUeJ9Gq6AZiU3ZAOa
one vo1ce,spotify:artist:2XbrRvsnu4m56qwgBx5nnD
Monica,spotify:artist:6nzxy2wXs6tLgzEtqOkEi2
Tamia,spotify:artist:0le01dl1WllSHhjEXRl4in
Damage,spotify:artist:6Pwy6Wat9hp8g83y6gih5g
"['Mariah Carey', 'Joe', '98º']","['spotify:artist:4iHNK0tOyZPYnBU7nGAgpQ', 'spotify:artist:3zTOe1BtyTkwNvYZOxXktX', 'spotify:artist:6V03b3Y36lolYP2orXn8mV']"
one vo1ce,spotify:artist:2XbrRvsnu4m56qwgBx5nnD
Lewis Capaldi,spotify:artist:4GNC7GD6oZMSxPGyXy4MNB
Kai,spotify:artist:07cXXY7NDK9oWLUvPfUVvx
SWV,spotify:artist:2NmK5FyrQ18HOPXq1UBzqa
Dido,spotify:artist:2mpeljBig2IXLXRAFO9AAs
Alanis Morissette,spotify:artist:6ogn9necmbUdCppmNnGOdi
Joe,spotify:artist:3zTOe1BtyTkwNvYZOxXktX
INOJ,spotify:artist:5IUvXYeMtVmp8YJWf0eqvf
INOJ,spotify:artist:5IUvXYeMtVmp8YJWf0eqvf
Stacie Orrico,spotify:artist:5QjWgYDeKNP2iPHTdTttnG
"['Nu Flavor', 'Steve Mcdonald']","['spotify:artist:2gdX1GbQ8sljsTVwDaIpkc', 'spotify:artist:5FNa3QEdIYYGu1mBFIqp0T']"
Craig David,spotify:artist:2JyWXPbkqI5ZJa3gwqVa0c
Craig David,spotify:artist:2JyWXPbkqI5ZJa3gwqVa0c
Babyface,spotify:artist:3aVoqlJOYx31lH1gibGDt3
Mariah Carey,spotify:artist:4iHNK0tOyZPYnBU7nGAgpQ
Bryan Adams,spotify:artist:3Z02hBLubJxuFJfhacLSDc
Phil Collins,spotify:artist:4lxfqrEsLX6N1N4OCSkILp
Bryan Adams,spotify:artist:3Z02hBLubJxuFJfhacLSDc
TOTO,spotify:artist:0PFtn5NtBbbUNbU9EAmIWF
Air Supply,spotify:artist:4xXCRXOfQKQ2gjWxNhNzYW
