uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
spotify:track:3Allgqu3MaHE8QFvzoP90S,0.643,0.822,7,-9.29,1,0.0497,0.00363,0.749,0.13,0.0854,125.969
spotify:track:3VwUw2BsgZ9D1U3uti1oRt,0.66,0.673,4,-12.146,1,0.0443,0.0122,0.863,0.119,0.0352,125.001
spotify:track:7nkQKkwybFY2zPdHF9xWxR,0.599,0.666,7,-13.517,1,0.0396,0.0587,0.888,0.118,0.0683,119.999
spotify:track:1ijH8NGWiKytAYKZMyT0Bg,0.513,0.11,0,-18.106,0,0.0446,0.74,9.26e-05,0.111,0.174,116.625
spotify:track:4nvHVD7ydYxRcTt4zTX5hg,0.706,0.529,10,-13.008,0,0.053,0.00353,0.924,0.0863,0.34,122.997
spotify:track:5o6XskFbO8jYabXJZIah8l,0.414,0.698,11,-9.867,0,0.0405,0.0862,0.92,0.092,0.0325,122.982
spotify:track:00ZvKFPaUvr90ZAOgQAhTs,0.12,0.0677,4,-25.871,0,0.0454,0.684,0.429,0.125,0.0387,85.37
spotify:track:54rASBxmXynDja6H1YefqR,0.0812,0.00632,2,-36.329,0,0.0499,0.967,0.0562,0.107,0.0366,81.596
spotify:track:1WIx5Z0XsScbYe9kF13tAD,0.0836,0.0152,10,-25.893,1,0.0443,0.99,0.886,0.118,0.0701,60.907
spotify:track:4Uecyf82f85MdvnGLA4SWE,0.401,0.209,1,-17.161,0,0.0308,0.974,0.853,0.0905,0.075,72.415
spotify:track:6fvZJ1e7tuBRmwnZDEzGdw,0.766,0.396,7,-12.673,0,0.0406,0.137,0.0436,0.052,0.187,113.005
spotify:track:2odLjEdDAt0o9j9gvWKCUZ,0.289,0.0329,8,-23.125,1,0.0427,0.991,0.885,0.1,0.0622,131.536
spotify:track:1dHC5VBGgEO6PkPKTQu5eP,0.785,0.464,5,-11.575,0,0.066,0.38,0.92,0.0995,0.158,121.014
spotify:track:68cJlPh8bRhGdSgKBRR8W8,0.54,0.353,9,-13.489,0,0.039,0.543,0.81,0.0762,0.244,173.927
spotify:track:1fsNhKJoPB4sHd3bVL1bcw,0.512,0.0317,10,-23.317,0,0.0457,0.951,5.98e-06,0.0809,0.183,134.614
spotify:track:5UgT7w6zVZjP3oyawMzbiK,0.347,0.302,0,-12.104,1,0.0291,0.163,9.17e-05,0.14,0.0332,105.702
spotify:track:6POfrpc0tv287bg8lpfsRs,0.322,0.123,9,-18.314,0,0.0459,0.979,0.921,0.0898,0.156,115.658
spotify:track:5WgW9bG91h4zRUnBr97d6c,0.775,0.474,7,-15.341,1,0.0636,0.00963,0.943,0.108,0.0376,120.01
spotify:track:3GdNxGKaKcMoy9BbJI1CGR,0.699,0.597,0,-11.066,1,0.0582,0.0388,0.86,0.193,0.326,112.004
spotify:track:4dKqiIst8s7zMh0aYnPN7u,0.761,0.655,9,-10.185,0,0.0483,0.000856,0.858,0.0874,0.34,122.002
spotify:track:5utU2rmuTTlOGB5bTonrll,0.122,0.281,5,-14.789,0,0.0391,0.654,0.812,0.0827,0.154,74.679
spotify:track:3ySJFjOejztc3b52TcQhof,0.296,0.0893,5,-18.803,0,0.0368,0.588,0.958,0.128,0.0328,82.553
spotify:track:6vsli5b54tp4mwyUFPUtVN,0.101,0.363,2,-11.588,0,0.0399,0.149,0.482,0.542,0.0352,77.046
spotify:track:4qRVBnYIf6fMIsImHrZlID,0.633,0.542,6,-11.475,0,0.0461,0.29,0.772,0.233,0.0597,106.003
spotify:track:0kVOor973ijVqOBhYqvaE8,0.43,0.272,0,-15.526,1,0.04,0.716,3.87e-05,0.278,0.582,123.948
spotify:track:3gdewACMIVMEWVbyb8O9sY,0.601,0.532,10,-9.119,1,0.0286,0.432,6.25e-06,0.0925,0.341,136.571
spotify:track:6bIPHR8AJG5HAcn9oF21Ma,0.412,0.34,7,-14.836,1,0.0294,0.386,0.574,0.12,0.144,74.212
spotify:track:7AalBKBoLDR4UmRYRJpdbj,0.38,0.341,7,-15.719,1,0.0418,0.16,0.0408,0.448,0.179,143.719
